PID,SalePrice_Log,LotArea_Log,Street_Paved,LotShape,LandContour,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_Gable,RoofMatl_CompShg,GrLivArea_Log,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,MoSold,YrSold,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,TotalBath,Exterior1st__AsbShng,Exterior1st__AsphShn,Exterior1st__BrkComm,Exterior1st__BrkFace,Exterior1st__CBlock,Exterior1st__CemntBd,Exterior1st__HdBoard,Exterior1st__ImStucc,Exterior1st__MetalSd,Exterior1st__Plywood,Exterior1st__PreCast,Exterior1st__Stucco,Exterior1st__Wd Sdng,Exterior1st__WdShing,MasVnrType__0,MasVnrType__BrkCmn,MasVnrType__BrkFace,MasVnrType__Stone,Foundation__BrkTil,Foundation__PConc,Foundation__Slab,Foundation__Stone,Foundation__Wood,Heating__Floor,Heating__GasW,Heating__Grav,Heating__OthW,Heating__Wall,SaleCondition__Abnorml,SaleCondition__AdjLand,SaleCondition__Alloca,SaleCondition__Family,SaleCondition__Partial,Functional__Maj1,Functional__Maj2,Functional__Min1,Functional__Min2,Functional__Mod,Functional__Sal,GarageType__2Types,GarageType__Basment,GarageType__BuiltIn,GarageType__CarPort,GarageType__Detchd,GarageType__None,GarageFinish__Fin,GarageFinish__None,GarageFinish__RFn,MSSubClass__120,MSSubClass__150,MSSubClass__160,MSSubClass__180,MSSubClass__190,MSSubClass__30,MSSubClass__40,MSSubClass__45,MSSubClass__50,MSSubClass__60,MSSubClass__70,MSSubClass__75,MSSubClass__80,MSSubClass__85,MSSubClass__90,MSZoning__A (agr),MSZoning__C (all),MSZoning__FV,MSZoning__I (all),MSZoning__RH,MSZoning__RM,BldgType__2fmCon,BldgType__Duplex,BldgType__Twnhs,BldgType__TwnhsE,LotConfig__Corner,LotConfig__CulDSac,LotConfig__FR2,LotConfig__FR3,HouseStyle__1.5Fin,HouseStyle__1.5Unf,HouseStyle__2.5Fin,HouseStyle__2.5Unf,HouseStyle__2Story,HouseStyle__SFoyer,HouseStyle__SLvl,Neighborhood__Blmngtn,Neighborhood__Blueste,Neighborhood__BrDale,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__Greens,Neighborhood__GrnHill,Neighborhood__IDOTRR,Neighborhood__Landmrk,Neighborhood__MeadowV,Neighborhood__Mitchel,Neighborhood__NPkVill,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__SawyerW,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,Neighborhood__Veenker,Condition1__Artery,Condition1__Feedr,Condition1__PosA,Condition1__PosN,Condition1__RRAe,Condition1__RRAn,Condition1__RRNe,Condition1__RRNn,FireplaceQu__1,FireplaceQu__2,FireplaceQu__4,FireplaceQu__5,FireplaceQu__TA,GarageCond__0.0,GarageCond__1.0,GarageCond__2.0,GarageCond__4.0,GarageCond__5.0,ISU_dist
526301100,12.2783933071098,10.366277727263562,1,3,4,4,3,6,5,1960,1960,0,1,7.412160334945205,112.0,3,3,3.0,4.0,4.0,4.0,639.0,1.0,0.0,441.0,1080.0,2,1,5,2010,1,3,1,3,7,2,2.0,528.0,3.0,2,210,62,0,0,0,0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.96096599
526302030,11.917723684090689,9.308102089758679,1,3,4,4,3,6,5,1954,1954,0,1,7.164720378771857,28.0,3,3,3.0,3.0,1.0,4.0,468.0,3.0,539.0,171.0,1178.0,4,1,5,2006,2,2,1,3,5,0,2.0,452.0,3.0,3,280,0,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.942903747
526302040,11.967180737247824,9.262268464836541,1,3,4,4,3,6,6,1956,1956,0,1,6.931471805599453,244.0,3,4,3.0,3.0,1.0,3.0,773.0,1.0,0.0,235.0,1008.0,3,1,8,2006,1,2,1,4,5,2,1.0,313.0,3.0,3,0,0,0,0,280,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.944855643
526302110,11.732060994886899,9.473319831787592,1,3,4,4,3,6,5,1956,1956,1,1,6.782192056006791,0.0,3,3,2.0,2.0,1.0,3.0,564.0,1.0,0.0,318.0,882.0,3,1,10,2009,1,2,1,3,5,0,1.0,502.0,3.0,3,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86299049
526302120,12.037653993905211,9.372884301161463,1,3,4,4,3,5,5,1957,1957,1,1,7.493873886783559,302.0,3,3,3.0,3.0,2.0,3.0,1127.0,1.0,0.0,490.0,1617.0,2,1,6,2006,1,3,1,3,7,1,3.0,963.0,3.0,3,0,0,0,0,0,0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.861617718
526350040,11.56171562913966,9.360655132635051,1,4,4,4,3,5,6,1961,1961,1,1,6.79794041297493,0.0,3,3,3.0,3.0,1.0,3.0,468.0,2.0,144.0,270.0,882.0,3,1,6,2010,1,2,1,3,5,0,1.0,730.0,3.0,3,140,0,0,0,120,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.799450775
526351010,12.05524975579559,9.565704457114814,1,3,4,4,3,6,6,1958,1958,0,1,7.192182058713246,108.0,3,3,3.0,3.0,1.0,5.0,923.0,1.0,0.0,406.0,1329.0,3,1,6,2010,1,3,1,4,6,0,1.0,312.0,3.0,3,393,36,0,0,0,0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.840341958
526351030,12.081076155355488,9.308283446306147,1,3,4,4,3,6,8,1958,2002,0,1,7.254177846456518,0.0,5,3,4.0,3.0,1.0,5.0,528.0,4.0,411.0,245.0,1184.0,5,1,5,2008,1,3,1,3,6,1,2.0,601.0,3.0,3,0,51,0,0,190,0,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.844034893
526351100,11.964001084330445,9.230142999272362,1,4,4,4,3,6,5,1974,1974,0,1,7.2682230211595655,440.0,3,3,3.0,3.0,1.0,2.0,844.0,1.0,0.0,590.0,1434.0,3,1,6,2009,2,4,1,3,7,1,2.0,528.0,3.0,3,80,21,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.7006745569999997
526352080,12.027543886974914,9.274910142625483,1,4,4,4,3,6,6,1971,1971,1,1,7.369600720526409,302.0,3,3,3.0,3.0,1.0,4.0,838.0,1.0,0.0,749.0,1587.0,3,1,3,2007,2,3,1,3,7,1,2.0,525.0,3.0,3,0,44,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.751554141
