PID,SalePrice_Log,MSSubClass,LotArea_Log,Street_Paved,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle_Gable,RoofMatl_CompShg,GrLivArea_Log,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,MoSold,YrSold,SaleCondition,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,TotalBath,ISU_dist
526301100,12.27839331,20,10.36627773,1,3,4,4,Corner,3,NAmes,Norm,1Fam,1Story,6,5,1960,1960,0,1,7.412160335,BrkFace,Stone,112,3,3,CBlock,3,4,4,4,639,1,0,441,1080,GasA,2,1,5,2010,Normal,1,3,1,3,7,Typ,2,Attchd,Fin,2,3,2,210,62,0,0,0,0,0,2,3.96096599
526302030,11.91772368,20,9.30810209,1,3,4,4,Inside,3,NAmes,Norm,1Fam,1Story,6,5,1954,1954,0,1,7.164720379,Wd Sdng,Stone,28,3,3,CBlock,3,3,1,4,468,3,539,171,1178,GasA,4,1,5,2006,Normal,2,2,1,3,5,Typ,0,Attchd,RFn,2,3,3,280,0,0,0,0,0,0,3,3.942903747
526302040,11.96718074,20,9.262268465,1,3,4,4,Inside,3,NAmes,Norm,1Fam,1Story,6,6,1956,1956,0,1,6.931471806,VinylSd,BrkFace,244,3,4,CBlock,3,3,1,3,773,1,0,235,1008,GasA,3,1,8,2006,Normal,1,2,1,4,5,Typ,2,Attchd,Unf,1,3,3,0,0,0,0,280,0,0,2,3.944855643
526302110,11.73206099,20,9.473319832,1,3,4,4,Inside,3,NAmes,Norm,1Fam,1Story,6,5,1956,1956,1,1,6.782192056,MetalSd,None,0,3,3,CBlock,2,2,1,3,564,1,0,318,882,GasA,3,1,10,2009,Normal,1,2,1,3,5,Typ,0,Attchd,Unf,1,3,3,0,0,0,0,0,0,0,1,3.86299049
526302120,12.03765399,20,9.372884301,1,3,4,4,Corner,3,NAmes,Norm,1Fam,1Story,5,5,1957,1957,1,1,7.493873887,Wd Sdng,Stone,302,3,3,CBlock,3,3,2,3,1127,1,0,490,1617,GasA,2,1,6,2006,Normal,1,3,1,3,7,Typ,1,Attchd,Unf,3,3,3,0,0,0,0,0,0,0,1.5,3.861617718
526350040,11.56171563,20,9.360655133,1,4,4,4,Inside,3,NAmes,Feedr,1Fam,1Story,5,6,1961,1961,1,1,6.797940413,VinylSd,None,0,3,3,CBlock,3,3,1,3,468,2,144,270,882,GasA,3,1,6,2010,Normal,1,2,1,3,5,Typ,0,Attchd,Unf,1,3,3,140,0,0,0,120,0,3,1,3.799450775
526351010,12.05524976,20,9.565704457,1,3,4,4,Corner,3,NAmes,Norm,1Fam,1Story,6,6,1958,1958,0,1,7.192182059,Wd Sdng,BrkFace,108,3,3,CBlock,3,3,1,5,923,1,0,406,1329,GasA,3,1,6,2010,Normal,1,3,1,4,6,Typ,0,Attchd,Unf,1,3,3,393,36,0,0,0,0,0,1.5,3.840341958
526351030,12.08107616,20,9.308283446,1,3,4,4,Corner,3,NAmes,Norm,1Fam,1Story,6,8,1958,2002,0,1,7.254177846,MetalSd,None,0,5,3,CBlock,4,3,1,5,528,4,411,245,1184,GasA,5,1,5,2008,Normal,1,3,1,3,6,Min1,1,Attchd,Unf,2,3,3,0,51,0,0,190,0,0,2,3.844034893
526351100,11.96400108,20,9.230142999,1,4,4,4,Inside,3,NAmes,Norm,1Fam,1Story,6,5,1974,1974,0,1,7.268223021,Plywood,BrkFace,440,3,3,CBlock,3,3,1,2,844,1,0,590,1434,GasA,3,1,6,2009,Normal,2,4,1,3,7,Typ,1,Attchd,RFn,2,3,3,80,21,0,0,0,0,0,3,3.700674557
526352080,12.02754389,20,9.274910143,1,4,4,4,Inside,3,NAmes,Norm,1Fam,1Story,6,6,1971,1971,1,1,7.369600721,MetalSd,BrkFace,302,3,3,CBlock,3,3,1,4,838,1,0,749,1587,GasA,3,1,3,2007,Normal,2,3,1,3,7,Typ,1,Attchd,Unf,2,3,3,0,44,0,0,0,0,0,2,3.751554141
