PID,GrLivArea_Log,SalePrice_Log,MSSubClass,MSZoning,LotFrontage,LotArea_Log,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalBath,ISU_dist
526301100,7.412160334945205,12.2783933071098,20,RL,141.0,10.366277727263562,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,Y,SBrkr,1656,0,0,1,3,1,TA,7,Typ,2,Attchd,Fin,2.0,TA,P,210,62,0,0,0,0,None,0,5,2010,WD ,Normal,2.0,3.96096599
526302030,7.164720378771857,11.917723684090689,20,RL,68.47022684310019,9.308102089758679,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28.0,TA,TA,CBlock,TA,TA,No,BLQ,468.0,Rec,539.0,171.0,1178.0,GasA,Gd,Y,SBrkr,1293,0,0,2,2,1,TA,5,Typ,0,Attchd,RFn,2.0,TA,Y,280,0,0,0,0,0,None,0,5,2006,WD ,Normal,3.0,3.942903747
526302040,6.931471805599453,11.967180737247824,20,RL,85.0,9.262268464836541,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1956,1956,Hip,CompShg,VinylSd,VinylSd,BrkFace,244.0,TA,Gd,CBlock,TA,TA,No,Rec,773.0,Unf,0.0,235.0,1008.0,GasA,TA,Y,SBrkr,1024,0,0,1,2,1,Gd,5,Typ,2,Attchd,Unf,1.0,TA,Y,0,0,0,0,280,0,None,0,8,2006,WD ,Normal,2.0,3.944855643
526302110,6.782192056006791,11.732060994886899,20,RL,74.0,9.473319831787592,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Fa,Fa,No,Rec,564.0,Unf,0.0,318.0,882.0,GasA,TA,Y,SBrkr,882,0,0,1,2,1,TA,5,Typ,0,Attchd,Unf,1.0,TA,Y,0,0,0,0,0,0,None,0,10,2009,WD ,Normal,1.0,3.86299049
526302120,7.493873886783559,12.037653993905211,20,RL,68.47022684310019,9.372884301161463,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,302.0,TA,TA,CBlock,TA,TA,Mn,Rec,1127.0,Unf,0.0,490.0,1617.0,GasA,Fa,Y,SBrkr,1797,0,0,1,3,1,TA,7,Typ,1,Attchd,Unf,3.0,TA,Y,0,0,0,0,0,0,None,0,6,2006,WD ,Normal,1.5,3.861617718
526350040,6.79794041297493,11.56171562913966,20,RH,80.0,9.360655132635051,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,896,0,0,1,2,1,TA,5,Typ,0,Attchd,Unf,1.0,TA,Y,140,0,0,0,120,0,MnPrv,0,6,2010,WD ,Normal,1.0,3.799450775
526351010,7.192182058713246,12.05524975579559,20,RL,81.0,9.565704457114814,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,1,3,1,Gd,6,Typ,0,Attchd,Unf,1.0,TA,Y,393,36,0,0,0,0,None,12500,6,2010,WD ,Normal,1.5,3.840341958
526351030,7.254177846456518,12.081076155355488,20,RL,87.0,9.308283446306147,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,8,1958,2002,Hip,CompShg,MetalSd,MetalSd,None,0.0,Ex,TA,CBlock,Gd,TA,No,ALQ,528.0,BLQ,411.0,245.0,1184.0,GasA,Ex,Y,SBrkr,1414,0,0,1,3,1,TA,6,Min1,1,Attchd,Unf,2.0,TA,Y,0,51,0,0,190,0,None,0,5,2008,WD ,Normal,2.0,3.844034893
526351100,7.2682230211595655,11.964001084330445,20,RL,85.0,9.230142999272362,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440.0,TA,TA,CBlock,TA,TA,No,LwQ,844.0,Unf,0.0,590.0,1434.0,GasA,TA,Y,SBrkr,1434,0,0,2,4,1,TA,7,Typ,1,Attchd,RFn,2.0,TA,Y,80,21,0,0,0,0,None,0,6,2009,WD ,Normal,3.0,3.7006745569999997
526352080,7.369600720526409,12.027543886974914,20,RL,85.0,9.274910142625483,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,BrkFace,302.0,TA,TA,CBlock,TA,TA,No,BLQ,838.0,Unf,0.0,749.0,1587.0,GasA,TA,Y,SBrkr,1587,0,0,2,3,1,TA,7,Typ,1,Attchd,Unf,2.0,TA,Y,0,44,0,0,0,0,None,0,3,2007,WD ,Normal,2.0,3.751554141
526352090,7.152268856032539,12.025749091398891,20,RL,85.0,9.271247306879705,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778.0,Unf,0.0,499.0,1277.0,GasA,TA,Y,SBrkr,1277,0,0,1,2,1,TA,5,Typ,1,Attchd,Unf,2.0,TA,Y,0,0,0,0,176,0,GdWo,0,4,2007,WD ,Normal,2.0,3.7557151139999996
526353030,7.6544432264701125,12.404923504275338,20,RL,93.0,9.320091235935301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,Ex,Y,SBrkr,2110,0,0,2,3,1,Ex,8,Typ,2,Attchd,Fin,2.0,TA,Y,0,0,0,0,0,0,None,0,4,2010,WD ,Normal,3.5,3.8139938160000004
526353050,7.6577552711348655,12.377922902456833,20,RL,68.47022684310019,9.46691869937663,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,865.0,Unf,0.0,340.0,1205.0,GasA,Ex,Y,SBrkr,2117,0,0,2,4,1,TA,7,Typ,2,Attchd,Fin,2.0,TA,Y,0,42,0,0,0,0,None,0,5,2008,WD ,Normal,2.5,3.4157487289999997
526354020,7.523481312573497,12.165771348756648,20,RL,90.0,9.369649154461065,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,7,6,1969,1969,Gable,CompShg,HdBoard,HdBoard,BrkFace,434.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,1851.0,1851.0,GasA,Gd,Y,SBrkr,1851,0,0,2,3,1,TA,8,Typ,1,Attchd,Fin,2.0,TA,Y,0,146,0,0,0,0,None,0,3,2006,WD ,Normal,2.0,3.7211235069999997
526354070,7.655390644826152,12.239990863733635,60,RL,85.0,9.312445594913337,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,2Story,6,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,Mn,ALQ,500.0,LwQ,276.0,176.0,952.0,GasA,TA,Y,SBrkr,1092,1020,0,2,4,1,TA,9,Typ,2,Attchd,Unf,2.0,TA,Y,280,0,0,0,0,0,None,0,6,2008,WD ,Normal,2.5,3.6434352960000003
526355080,7.902487437162855,12.751299696013497,80,RL,75.0,9.536762272743895,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,SLvl,8,7,1972,1995,Gable,CompShg,Plywood,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1410.0,Unf,0.0,542.0,1952.0,GasA,Gd,Y,SBrkr,2000,704,0,2,4,1,Ex,9,Typ,3,Attchd,Fin,2.0,TA,Y,269,111,0,0,0,0,MnPrv,0,7,2009,WD ,Normal,3.5,3.7565437010000005
526355170,7.706612913964197,12.404923504275338,20,RL,95.0,9.521568058002977,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880.0,Unf,0.0,343.0,2223.0,GasA,Ex,Y,SBrkr,2223,0,0,2,3,1,TA,8,Typ,2,Attchd,Fin,2.0,TA,Y,300,0,0,0,0,0,None,0,2,2007,WD ,Normal,3.0,3.673045024
