,0
GrLivArea_Log,0.328279448
OverallQual,0.089394279
LotArea_Log,0.041643078
GarageCars,0.037038
KitchenQual,0.027079513
Fireplaces,0.008819469
YearBuilt,0.001019919
YearRemodAdd,0.0006194
BsmtQual,0.000570946
TotalBsmtSF,9.32E-05
BsmtFinSF1,5.69E-05
Street_Paved,0
LotShape,0
LandContour,0
Utilities,0
LandSlope,0
OverallCond,0
RoofStyle_Gable,0
RoofMatl_CompShg,0
MasVnrArea,0
ExterQual,0
ExterCond,0
BsmtCond,0
BsmtExposure,0
BsmtFinType1,0
BsmtFinType2,0
BsmtFinSF2,0
BsmtUnfSF,0
HeatingQC,0
CentralAir,0
MoSold,0
YrSold,0
FullBath,0
BedroomAbvGr,0
KitchenAbvGr,0
TotRmsAbvGrd,0
GarageQual,0
PavedDrive,0
WoodDeckSF,0
OpenPorchSF,0
EnclosedPorch,0
3SsnPorch,0
ScreenPorch,0
PoolArea,0
Fence,0
TotalBath,0
Exterior1st__AsbShng,0
Exterior1st__AsphShn,0
Exterior1st__BrkComm,0
Exterior1st__BrkFace,0
Exterior1st__CBlock,0
Exterior1st__CemntBd,0
Exterior1st__HdBoard,0
Exterior1st__ImStucc,0
Exterior1st__MetalSd,0
Exterior1st__Plywood,0
Exterior1st__PreCast,0
Exterior1st__Stucco,0
Exterior1st__Wd Sdng,0
Exterior1st__WdShing,0
MasVnrType__0,0
MasVnrType__BrkCmn,0
MasVnrType__BrkFace,0
MasVnrType__Stone,0
Foundation__BrkTil,0
Foundation__PConc,0
Foundation__Slab,0
Foundation__Stone,0
Foundation__Wood,0
Heating__Floor,0
Heating__GasW,0
Heating__Grav,0
Heating__OthW,0
Heating__Wall,0
SaleCondition__Abnorml,0
SaleCondition__AdjLand,0
SaleCondition__Alloca,0
SaleCondition__Family,0
SaleCondition__Partial,0
Functional__Maj1,0
Functional__Maj2,0
Functional__Min1,0
Functional__Min2,0
Functional__Mod,0
Functional__Sal,0
GarageType__2Types,0
GarageType__Basment,0
GarageType__BuiltIn,0
GarageType__CarPort,0
GarageType__Detchd,0
GarageType__None,0
GarageFinish__Fin,0
GarageFinish__None,0
GarageFinish__RFn,0
MSSubClass__120,0
MSSubClass__150,0
MSSubClass__160,0
MSSubClass__180,0
MSSubClass__190,0
MSSubClass__30,0
MSSubClass__40,0
MSSubClass__45,0
MSSubClass__50,0
MSSubClass__60,0
MSSubClass__70,0
MSSubClass__75,0
MSSubClass__80,0
MSSubClass__85,0
MSSubClass__90,0
MSZoning__A (agr),0
MSZoning__C (all),0
MSZoning__FV,0
MSZoning__I (all),0
MSZoning__RH,0
MSZoning__RM,0
BldgType__2fmCon,0
BldgType__Duplex,0
BldgType__Twnhs,0
BldgType__TwnhsE,0
LotConfig__Corner,0
LotConfig__CulDSac,0
LotConfig__FR2,0
LotConfig__FR3,0
HouseStyle__1.5Fin,0
HouseStyle__1.5Unf,0
HouseStyle__2.5Fin,0
HouseStyle__2.5Unf,0
HouseStyle__2Story,0
HouseStyle__SFoyer,0
HouseStyle__SLvl,0
Neighborhood__Blmngtn,0
Neighborhood__Blueste,0
Neighborhood__BrDale,0
Neighborhood__BrkSide,0
Neighborhood__ClearCr,0
Neighborhood__CollgCr,0
Neighborhood__Crawfor,0
Neighborhood__Edwards,0
Neighborhood__Gilbert,0
Neighborhood__Greens,0
Neighborhood__GrnHill,0
Neighborhood__IDOTRR,0
Neighborhood__Landmrk,0
Neighborhood__MeadowV,0
Neighborhood__Mitchel,0
Neighborhood__NPkVill,0
Neighborhood__NWAmes,0
Neighborhood__NoRidge,0
Neighborhood__NridgHt,0
Neighborhood__OldTown,0
Neighborhood__SWISU,0
Neighborhood__Sawyer,0
Neighborhood__SawyerW,0
Neighborhood__Somerst,0
Neighborhood__StoneBr,0
Neighborhood__Timber,0
Neighborhood__Veenker,0
Condition1__Artery,0
Condition1__Feedr,0
Condition1__PosA,0
Condition1__PosN,0
Condition1__RRAe,0
Condition1__RRAn,0
Condition1__RRNe,0
Condition1__RRNn,0
ISU_dist,0
