PID,GrLivArea_Log,OverallQual,LotArea_Log,CentralAir,KitchenQual,Fireplaces,HeatingQC,OverallCond,BsmtQual,PavedDrive,BsmtExposure,YearBuilt,YearRemodAdd,ExterQual,GarageArea,TotalBsmtSF,BsmtFinSF1,BsmtFinType1,target
526301100,7.412160334945206,6,10.366277727263563,1,3,2,2,5,3.0,2,4.0,1960,1960,3,528.0,1080.0,639.0,4.0,12.278393307109802
526302030,7.164720378771857,6,9.30810208975868,1,3,0,4,5,3.0,3,1.0,1954,1954,3,452.0,1178.0,468.0,4.0,11.917723684090689
526302040,6.931471805599452,6,9.26226846483654,1,4,2,3,6,3.0,3,1.0,1956,1956,3,313.0,1008.0,773.0,3.0,11.967180737247824
526302110,6.782192056006791,6,9.473319831787592,1,3,0,3,5,2.0,3,1.0,1956,1956,3,502.0,882.0,564.0,3.0,11.7320609948869
526302120,7.493873886783558,5,9.372884301161463,1,3,1,2,5,3.0,3,2.0,1957,1957,3,963.0,1617.0,1127.0,3.0,12.037653993905213
526350040,6.7979404129749295,5,9.360655132635053,1,3,0,3,6,3.0,3,1.0,1961,1961,3,730.0,882.0,468.0,3.0,11.561715629139659
526351010,7.192182058713247,6,9.565704457114814,1,4,0,3,6,3.0,3,1.0,1958,1958,3,312.0,1329.0,923.0,5.0,12.055249755795591
526351030,7.2541778464565185,6,9.308283446306149,1,3,1,5,8,4.0,3,1.0,1958,2002,5,601.0,1184.0,528.0,5.0,12.08107615535549
526351100,7.268223021159565,6,9.230142999272363,1,3,1,3,5,3.0,3,1.0,1974,1974,3,528.0,1434.0,844.0,2.0,11.964001084330445
526352080,7.369600720526409,6,9.274910142625485,1,3,1,3,6,3.0,3,1.0,1971,1971,3,525.0,1587.0,838.0,4.0,12.027543886974914
526352090,7.152268856032539,7,9.271247306879703,1,3,1,3,5,3.0,3,4.0,1970,1970,3,526.0,1277.0,778.0,6.0,12.025749091398893
526353030,7.654443226470112,7,9.320091235935301,1,5,2,5,5,3.0,3,1.0,1968,1968,4,522.0,2110.0,1065.0,5.0,12.404923504275338
526353050,7.6577552711348655,6,9.466918699376631,1,3,2,5,7,3.0,3,2.0,1970,1970,3,550.0,1205.0,865.0,4.0,12.377922902456833
526354020,7.523481312573497,7,9.369649154461065,1,3,1,4,6,3.0,3,2.0,1969,1969,3,506.0,1851.0,0.0,1.0,12.16577134875665
526354070,7.655390644826152,6,9.312445594913337,1,3,2,3,5,2.0,3,2.0,1969,1969,3,576.0,952.0,500.0,5.0,12.239990863733635
