,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Prop_Addr,longitude,latitude,addy
1,909176150,856,126000,30,RL,,7890,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,0,166,0,,,,0,3,2010,WD ,Normal,436 HAYWARD AVE,-93.65161918367347,42.01856448979592,"436, Hayward Avenue, Ames, Story County, Iowa, 50014, United States"
2,905476230,1049,139500,120,RL,42.0,4235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,,,,0,2,2009,WD ,Normal,3416 WEST ST,-93.66367099341755,42.024855315930424,"3416, West Street, Ames, Story County, Iowa, 50014, United States"
3,911128020,1001,124900,30,C (all),60.0,6060,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,0,42,86,0,0,,,,0,11,2007,WD ,Normal,320 S 2ND ST,-93.61406809992513,42.021547615297024,"320, South 2nd Street, Ames, Story County, Iowa, 50010, United States"
4,535377150,1039,114000,70,RL,80.0,8146,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,0,,,,0,5,2009,WD ,Normal,1524 DOUGLAS AVE,-93.61220695918368,42.03739146938776,"1524, Douglas Avenue, Broadmoor, Ames, Story County, Iowa, 50010, United States"
5,534177230,1665,227000,60,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,0,0,,,,0,11,2009,WD ,Normal,2304 FILLMORE AVE,-93.63181831620726,42.04455376067282,"2304, Fillmore Avenue, Allenview, Ames, Story County, Iowa, 50010, United States"
6,908128060,1922,198500,85,RL,64.0,7301,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,0,177,0,0,0,,,,0,7,2009,ConLD,Normal,4003 MARIGOLD DR,-93.67298690279817,42.01900877172312,"4003, Marigold Drive, Ames, Story County, Iowa, 50014, United States"
7,902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,0,0,,,,0,2,2009,WD ,Normal,212 10TH ST 210,-93.61256091846626,42.031162,"212, 10th Street, Ames, Story County, Iowa, 50010, United States"
8,528228540,1246,187687,20,RL,53.0,3710,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,0,0,,,,0,3,2008,New,Partial,2431 LAKESIDE DR,-93.6415688852472,42.06328412279648,"2431, Lakeside Drive, Bloomington Heights West Townhomes, Ames, Story County, Iowa, 50010, United States"
9,923426010,889,137500,20,RL,74.0,12395,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Normal,602 KEN MARIL RD,-93.6036188257733,41.986495735956744,"602, Ken Maril Road, Ames, Story County, Iowa, 50010, United States"
10,908186050,1072,140000,180,RM,35.0,3675,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,,,,0,5,2007,WD ,Normal,3901 MARIGOLD DR,-93.66946211497068,42.01896635242211,"3901, Marigold Drive, Ames, Story County, Iowa, 50014, United States"
